Πάροχος,Έτος,Μήνας,Ονομασία Τιμολογίου,Πάγιο (€/μήνα),Τελική Τιμή Προμήθειας (€/ΚWh),Πάγιο με Έκπτωση με προϋπόθεση (€/μήνα),Προϋπόθεση Έκπτωσης Παγίου,Τελική Τιμή Προμήθειας με Έκπτωση με προϋπόθεση (€/ΚWh),Προϋπόθεση Έκπτωσης Βασικής Τιμής Προμήθειας,Διάρκεια Σύμβασης,Παρατηρήσεις
VOLTON,2024,12,VOLTON BLUE FIXED 6M_03,9.90,0.18,9.90,,0.144,Συνέπεια,6,Από 06/09 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2025,1,VOLTON BLUE FIXED 6M_03,9.90,0.18,9.90,,0.144,Συνέπεια,6,Από 06/09 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2024,7,VOLTON BLUE FIXED 6M_03,9.90,0.18,9.90,,0.144,Συνέπεια,6,
VOLTON,2024,9,VOLTON BLUE FIXED 6M_03,9.90,0.18,9.90,,0.144,Συνέπεια,6,Από 06/09 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2024,1,Ειδικό,4.90,0.16905,4.90,,0.14425,Συνέπεια,12,Το Volton Ειδικό Τιμολόγιο μετονομάστηκε σε Volton Green Ειδικό στις 22/4. Δώρο το ρεύμα του πρώτου μήνα για νέες αιτήσεις.
EUNICE,2024,6,We Home,2.00,0.14446,2.00,,0.14446,,Αορίστου Διάρκειας,
ΔΕΗ,2024,3,MyHome 4All (> 500 kWh/μήνα),5.00,0.14873,4.90,Πάγια Πληρωμή,0.14451,10% οριζόντια έκπτωση στη Βασική Τιμή Προμήθειας χωρίς προϋποθέσεις και 2% έκπτωση στη Βασική Τιμή Προμήθειας με Πάγια Πληρωμή,Αορίστου Διάρκειας,Χρέωση νυχτερινού 72.35€/MWh. Αφορά σε συμβάσεις από 1/3/2024.
EUNICE,2024,9,WE GREEN HOME,3.75,0.15703,3.75,,0.14453,Συνέπεια,Αορίστου Διάρκειας,Μή εμπορικά διαθέσιμο από 01.07.2024. Χρέωση νυχτερινού 141.53 €/MWh.
EUNICE,2024,9,We Blue Home,2.75,0.15703,2.75,,0.14453,Συνέπεια,Αορίστου Διάρκειας,Χρέωση νυχτερινού 141.53 €/MWh
ΖΕΝΙΘ,2024,2,Ειδικό,5.00,0.14468,5.00,,0.14468,,Αορίστου Διάρκειας,
VOLTERRA,2024,10,Ειδικό,4.50,0.14484,4.50,,0.14484,,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,1,GENEROUS GUARANTEE HOME,5.50,0.15721,5.50,,0.14491,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
EUNICE,2024,10,Eunice Home Fair (πρωην we yellow),4.00,0.16,4.00,,0.145,Συνέπεια,12,ΜΗ εμπορικά διαθέσιμο από 22/11/2024.
EUNICE,2025,1,Eunice Home Fair (πρωην we yellow),4.00,0.16,4.00,,0.145,Συνέπεια,12,ΜΗ εμπορικά διαθέσιμο από 22/11/2024.
EUNICE,2024,12,Eunice Home Fair (πρωην we yellow),4.00,0.16,4.00,,0.145,Συνέπεια,12,ΜΗ εμπορικά διαθέσιμο από 22/11/2024.
VOLTERRA,2024,11,Ειδικό,4.50,0.145,4.50,,0.145,,Αορίστου Διάρκειας,
ΔΕΗ,2024,4,My Home Enter,5.00,0.145,5.00,Πάγια εντολή,0.145,,Αορίστου Διάρκειας,Το πρόγραμμα διατίθετο με διαφορετική τιμή προ της 1/4/2024 και προ της 30/06/2024
ΔΕΗ,2025,1,My Home Enter,5.00,0.145,5.00,Πάγια εντολή,0.145,,12,
ΔΕΗ,2024,12,My Home Enter,5.00,0.145,5.00,Πάγια εντολή,0.145,,12,
ΕΛΙΝΟΙΛ,2024,10,Power On! Home,0.00,0.14511,0.00,,0.14511,,Αορίστου Διάρκειας,
EUNICE,2024,2,Ειδικό,5.00,0.1455,5.00,,0.1455,,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,10,ECO GENEROUS HOME,6.50,0.17046,6.50,,0.14571,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
ΔΕΗ,2024,1,Ειδικό (> 500 ημερήσιες kWh μηνιαίως),5.00,0.14595,5.00,,0.14595,,Αορίστου Διάρκειας,"Χρέωση νυχτερινού 111,55 €/MWh"
ELPEDISON,2024,10,ELPEDISON SMART,5.00,0.14637,5.00,,0.14637,,12,
ELPEDISON,2024,10,ELPEDISON Win,5.90,0.14637,5.90,,0.14637,,12,Από 12/07 το προϊόν είναι μη εμπορικά διαθέσιμο.
ELPEDISON,2024,10,ELPEDISON Win More,5.00,0.14637,5.00,,0.14637,,12,Από 01/10 το προϊόν είναι μη εμπορικά διαθέσιμο. Έως 30/09 Σταθερή Χρέωση Προμήθειας ημέρας και νύχτας και Πάγιο στα 9.90 €/μήνα. Από 01/10/2024 έως τη λήξη της σύμβασης η Χρέωση Προμήθειας καθίσταται κυμαινόμενη και το Πάγιο ανέρχεται στα 5 €/μήνα.
ELPEDISON,2024,2,Ειδικό (από την 101η kWh και πάνω μηνιαίως),5.00,0.1465,5.00,,0.1465,,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,10,SOLAR GENEROUS HOME,5.50,0.16546,5.50,,0.14666,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
ΔΕΗ,2024,6,MyHome 4All (> 500 kWh/μήνα) (μη εμπορικά διαθέσιμο),5.00,0.15101,4.90,Πάγια εντολή,0.14679,35% οριζόντια έκπτωση στη Βασική Τιμή Προμήθειας χωρίς προϋποθέσεις για τον Ιούνιο 2% έκπτωση στη Βασική Τιμή Προμήθειας με Πάγια Πληρωμή,Αορίστου Διάρκειας,Χρέωση νυχτερινού 95.13€/MWh
ΔΕΗ,2024,6,MyHome 4All (> 500 kWh/μήνα),5.00,0.15101,4.90,Πάγια εντολή,0.14679,35% οριζόντια έκπτωση στη Βασική Τιμή Προμήθειας χωρίς προϋποθέσεις για τον Ιούνιο 2% έκπτωση στη Βασική Τιμή Προμήθειας με Πάγια Πληρωμή,Αορίστου Διάρκειας,Χρέωση νυχτερινού 95.13€/MWh
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,11,Ειδικό,5.00,0.14681,5.00,,0.14681,,Αορίστου Διάρκειας,
ΖΕΝΙΘ,2024,6,My Pet My Home,4.50,0.14727,4.50,,0.14727,,Αορίστου Διάρκειας,
ELPEDISON,2024,10,ELPEDISON Smart Up,4.00,0.14737,4.00,,0.14737,,12,Από 31/05 το προϊόν είναι μη εμπορικά διαθέσιμο.
OTE ESTATE,2024,4,Ειδικό,5.00,0.16524,5.00,,0.148,,Αορίστου Διάρκειας,
PROTERGIA,2024,6,Value Fair,5.00,0.14822,5.00,,0.14822,,Αορίστου Διάρκειας,
VOLTON,2024,6,VOLTON YELLOW SIMPLE,4.90,0.15437,4.90,,0.14837,Συνέπεια,12,Διατίθεται με ειδική προσφορά (για τις νέες αιτήσεις για τον πρώτο μήνα - 30 ημέρες - κατανάλωσης παροχή δωρεάν παγίου και χρεώσεων προμήθειας για κατανάλωση έως 500 kWh).
ΕΛΙΝΟΙΛ,2024,6,Ειδικό,5.00,0.1585,5.00,,0.1485,,Αορίστου Διάρκειας,
ΕΛΙΝΟΙΛ,2024,1,Power On! Home,0.00,0.14856,0.00,,0.14856,,Αορίστου Διάρκειας,
NRG,2024,11,Ειδικό,5.00,0.1806,3.50,ebill & πάγια εντολή,0.1486,συνέπεια,Αορίστου Διάρκειας,
ELPEDISON,2024,11,Ειδικό,4.00,0.1487,4.00,,0.1487,,Αορίστου Διάρκειας,
ELPEDISON,2024,7,Ειδικό (για τις πρώτες 100 kWh μηνιαίως),4.00,0.14874,4.00,,0.14874,,Αορίστου Διάρκειας,
PROTERGIA,2024,11,Value Special,4.00,0.22,4.00,,0.149,ΣΥΝΕΠΕΙΑ,Αορίστου Διάρκειας,
PROTERGIA,2024,12,Value Standard,5.00,0.24,5.00,,0.149,Συνέπεια,12,
PROTERGIA,2024,11,Value Standard,5.00,0.205,5.00,,0.149,Συνέπεια,Αορίστου Διάρκειας,
ΕΛΙΝΟΙΛ,2025,1,Power on! Blue Day,5.00,0.149,5.00,,0.149,,12,
ΕΛΙΝΟΙΛ,2024,12,Power on! Blue Day,5.00,0.149,5.00,,0.149,,12,Χρέωση νυχτερινου 139 €/MWh
ΕΛΙΝΟΙΛ,2024,1,Power on! Blue Day,5.00,0.149,5.00,,0.149,,Αορίστου Διάρκειας,Χρέωση νυχτερινου 139 €/MWh
ΕΛΙΝΟΙΛ,2025,1,Power On! Blue Day & Night,5.00,0.149Τελική Τιμή Προμήθειας Νυχτερινής Κατανάλωσης 0.139,5.00,,0.149Τελική Τιμή Προμήθειας Νυχτερινής Κατανάλωσης 0.139,,12,
ΖΕΝΙΘ,2024,10,Ειδικό,5.00,0.14904,5.00,,0.14904,,Αορίστου Διάρκειας,
ΔΕΗ,2024,9,MyHome 4All,5.00,0.15215,4.90,Πάγια εντολή,0.14911,2% έκπτωση στη Βασική Τιμή Προμήθειας με Πάγια Πληρωμή,Αορίστου Διάρκειας,Χρέωση νυχτερινού 131.35€/MWh. 20% οριζόντια έκπτωση στη Βασική Τιμή Προμήθειας χωρίς προϋποθέσεις για το Σεπτέμβριο για τις συμβάσεις από 01/06.
ELPEDISON,2024,5,ELPEDISON Smart Zero,0.00,0.14927,0.00,,0.14927,,12,
ΖΕΝΙΘ,2024,10,My Pet My Home,4.50,0.1493,4.50,,0.1493,,Αορίστου Διάρκειας,
EUNICE,2024,6,We Simple (KOT),3.00,0.14946,3.00,,0.14946,,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,1,ECO GENEROUS HOME,6.50,0.17421,6.50,,0.14946,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
ΔΕΗ,2024,10,Ειδικό,5.00,0.1496,5.00,,0.1496,,Αορίστου Διάρκειας,"Χρέωση Νυχτερινού 120,62 €/MWh"
ΖΕΝΙΘ,2024,12,Power Home Student,5.00,0KWh - 200KWh   0.095 201KWh +   0.20443,5.00,,0KWh - 200KWh   0.095 201KWh +   0.20443,,Αορίστου Διάρκειας,
SOLAR ENERGY,2024,10,Οικιακό S1Ν,0.00,0.1587,0.00,,0.14975,Συνέπεια,Αορίστου Διάρκειας,"Χρέωση νυχτερινού 135,30 €/MWh"
SOLAR ENERGY,2024,10,Οικιακό S1,0.00,0.1587,0.00,,0.14975,Συνέπεια,Αορίστου Διάρκειας,
ΔΕΗ,2025,1,Ειδικό,5.00,0KWh - 500KWh   0.15475 500KWh +   0.16399 Τελική Τιμή Προμήθειας Νυχτερινής Κατανάλωσης 0.13088,5.00,,"0KWh - 500KWh
0.15475
500KWh +
0.16399
Τελική Τιμή Προμήθειας Νυχτερινής Κατανάλωσης
0.13088",,Αορίστου Διάρκειας,"Σε περίπτωση υπέρβασης της κατανάλωσης πλέον των 500 kWh, τότε η χρεώση είναι με τιμή 0,16399 €/kWh από την 1η καταναλισκόμενη kWh"
PROTERGIA,2024,10,Value Standard,5.00,0.19895,5.00,,0.1499,Συνέπεια,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,6,DOUBLE GENEROUS HOME,5.50,0.1816,5.50,,0.14992,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,5,Yellow Free HOME,0.00,0.15416,0.00,,0.14996,Παραμονή,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,10,SIMPLY GENEROUS HOME,5.50,0.15471,5.50,,0.15009,Παραμονή,Αορίστου Διάρκειας,Μή εμπορικά διαθέσιμο προϊόν
ΗΡΩΝ,2024,6,YELLOW ONE HOME,5.00,0.16998,5.00,,0.15009,Συνέπεια,Αορίστου Διάρκειας,
ΖΕΝΙΘ,2024,6,Power Home More,5.00,0.159,5.00,,0.1501,Συνέπεια (5%) και Παράλληλη ενεργή σύμβαση Φυσικού Αερίου (5%),Αορίστου Διάρκειας,
ΔΕΗ,2024,12,MyHome 4All,5.00,0KWh - 500KWh   0.25251 501KWh +   0.30851 Τελική Τιμή Προμήθειας Νυχτερινής Κατανάλωσης 0.13879,4.90,Πάγια Εντολή,0KWh - 500KWh   0.14711 501KWh +   0.16503 Τελική Τιμή Προμήθειας Νυχτερινής Κατανάλωσης 0.13879,Οριζόντια έκπτωση 68% χωρίς προϋπόθεση,12,Δυνατότητα επιπλέον έκπτωσης 2% επί της τελικής τιμής προμήθειας με πληρωμή μέσω πάγιας εντολής. Η δυνατότητα αυτή επιπλέον έκπτωσης 2% με πληρωμή μέσω πάγιας εντολής ισχύει και για τη χρέωση νυχτερινού τιμολογίου.
ΗΡΩΝ,2024,1,SOLAR GENEROUS HOME,5.50,0.16921,5.50,,0.15041,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
VOLTON,2024,10,VOLTON YELLOW SIMPLE PROTECT July -September,4.90,0.15651,4.90,,0.15051,Συνέπεια,12,Από 02/08 το προϊόν είναι μη εμπορικά διαθέσιμο. Για τους μήνες Ιούλιο/Αύγουστο και Σεπτέμβριο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανερχόταν στα 93€/MWh.
VOLTON,2024,10,VOLTON YELLOW SIMPLE,4.90,0.15651,4.90,,0.15051,Συνέπεια,12,Από 02/08 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2024,10,VOLTON YELLOW SIMPLE PROTECT June - August,4.90,0.15651,4.90,,0.15051,Συνέπεια,12,Από 02/07 το προϊόν είναι μη εμπορικά διαθέσιμο. Για τους μήνες Ιούνιο/Ιούλιο και Αύγουστο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανερχόταν στα 83€/MWh.
VOLTON,2024,10,VOLTON YELLOW SIMPLE 50 €,4.90,0.15651,4.90,,0.15051,Συνέπεια,12,Η τιμή του εκάστοτε μήνα ανακοινώνεται με την έκδοση της ΜΤΑ. Στο πλαίσιο προωθητικής ενέργειας για τους πρώτους 5 μήνες πραγματοποιείται τμηματική πίστωση συνολικής αξίας 50€.
VOLTON,2024,10,VOLTON YELLOW SIMPLE PROTECT,4.90,0.15651,4.90,,0.15051,Συνέπεια,12,Από 05/06 το προϊόν είναι μη εμπορικά διαθέσιμο. Για τους μήνες Απρίλιο/Μάιο/ Ιούνιο και Ιούλιο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανερχόταν στα 83€/MWh.
PROTERGIA,2024,12,Value Easy,5.00,0.19716,5.00,,0.1509,Οριζόντια έκπτωση χωρίς προυπόθεση,12,ΜΗ εμπορικά διαθέσιμο από 2/12/2024.
ΔΕΗ,2025,1,MyHome 4All,5.00,0KWh - 500KWh   0.14643 501KWh +   0.19011 Τελική Τιμή Προμήθειας Νυχτερινής Κατανάλωσης 0.12615,4.90,Πάγια Εντολή,"0KWh - 500KWh
0.14333
501KWh +
0.18589
Τελική Τιμή Προμήθειας Νυχτερινής Κατανάλωσης
0.12357",Έκπτωση 2% επί της τελικής τιμής προμήθειας με πληρωμή μέσω πάγιας εντολής.,12,
ΖΕΝΙΘ,2024,8,Power Home Go Electric Plus,5.00,0.15095,5.00,,0.15095,,Αορίστου Διάρκειας,Αντίστοιχες νυχτερινές χρεώσεις 140.95
NRG,2024,1,nrg fixed 4U,5.00,0.159,3.50,"e-bill, πάγια εντολή",0.151,Ταυτόχρονη σύνδεση σε οποιοδήποτε πρόγραμμα Φυσικού Αερίου της Εταιρείας,Αορίστου Διάρκειας,
NRG,2024,4,nrg fixed 4U,5.00,0.159,3.50,"e-bill, πάγια εντολή",0.151,Ταυτόχρονη σύνδεση σε οποιοδήποτε πρόγραμμα Φυσικού Αερίου της Εταιρείας,Αορίστου Διάρκειας,
NRG,2024,3,nrg fixed 4U,5.00,0.159,3.50,"e-bill, πάγια εντολή",0.151,Ταυτόχρονη σύνδεση σε οποιοδήποτε πρόγραμμα Φυσικού Αερίου της Εταιρείας,Αορίστου Διάρκειας,
NRG,2024,12,nrg fixed 4U,5.00,0.159,3.50,"e-bill, πάγια εντολή",0.151,Ταυτόχρονη σύνδεση σε οποιοδήποτε πρόγραμμα Φυσικού Αερίου της Εταιρείας,12,Μη εμπορικά διαθέσιμο από 01/06/2024
NRG,2024,2,nrg fixed 4U,5.00,0.159,3.50,"e-bill, πάγια εντολή",0.151,Ταυτόχρονη σύνδεση σε οποιοδήποτε πρόγραμμα Φυσικού Αερίου της Εταιρείας,Αορίστου Διάρκειας,
NRG,2024,5,nrg fixed 4U,5.00,0.159,3.50,"e-bill, πάγια εντολή",0.151,Ταυτόχρονη σύνδεση σε οποιοδήποτε πρόγραμμα Φυσικού Αερίου της Εταιρείας,Αορίστου Διάρκειας,Μη εμπορικά διαθέσιμο από 01/06/2024
NRG,2025,1,nrg fixed 4U,5.00,0.159,3.50,ebill & πάγια εντολή,0.15105,nrg Total (συνδυασμός με αέριο),12,
NRG,2024,6,nrg on time 4U,5.00,0.16864,3.50,"e-bill, πάγια εντολή",0.15114,Συνέπεια,Αορίστου Διάρκειας,Το πρόγραμμα διατέθηκε με διαφορετική τιμολόγηση πριν τις 22/4/2024
PROTERGIA,2024,11,Value Lite,1.00,0.15126,1.00,,0.15126,,Αορίστου Διάρκειας,
ΔΕΗ,2024,11,Ειδικό (> 500 ημερήσιες kWh μηνιαίως),5.00,0.15136,5.00,,0.15136,,Αορίστου Διάρκειας,"Χρέωση Νυχτερινού 113,52 €/MWh"
VOLTON,2024,11,Ειδικό,4.90,0.15185,4.90,,0.15185,Συνέπεια,12,Δώρο 50€ για νέες αιτήσεις
ΔΕΗ,2024,8,MyHome 4All,5.00,0.15504,4.90,Πάγια εντολή,0.15194,2% έκπτωση στη Βασική Τιμή Προμήθειας με Πάγια Πληρωμή,Αορίστου Διάρκειας,Χρέωση νυχτερινού 142.82€/MWh. 53% οριζόντια έκπτωση στη Βασική Τιμή Προμήθειας χωρίς προϋποθέσεις για τον Αύγουστο για τις συμβάσεις από 01/06. Οι συμβάσεις εως 29/02 έχουν 20% έκπτωση. Οι συμβάσεις από 01/03 έχουν 10%.
ΗΡΩΝ,2024,6,GENEROUS GUARANTEE HOME,5.50,0.1646,5.50,0,0.1523,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
ΔΕΗ,2024,4,MyHome 4All (> 500 kWh/μήνα),5.00,0.157,4.90,Πάγια εντολή,0.15278,10% οριζόντια έκπτωση στη Βασική Τιμή Προμήθειας χωρίς προϋποθέσεις και 2% έκπτωση στη Βασική Τιμή Προμήθειας με Πάγια Πληρωμή,Αορίστου Διάρκειας,Χρέωση νυχτερινού 80.62 MWh. Αφορά σε συμβάσεις από 1/3/2024.
ΔΕΗ,2024,12,Ειδικό,5.00,0KWh - 500KWh   0.15499 Εάν η κατανάλωση υπερβεί τις 500KWh η τιμή διαμορφώνετε σε 0.1588 από την 1η KWh Τελική Τιμή Προμήθειας Νυχτερινής Κατανάλωσης 0.14514,5.00,,0KWh - 500KWh   0.15499 Εάν η κατανάλωση υπερβεί τις 500KWh η τιμή διαμορφώνετε σε 0.1588 από την 1η KWh Τελική Τιμή Προμήθειας Νυχτερινής Κατανάλωσης 0.14514,,Αορίστου Διάρκειας,
NRG,2024,10,nrg on time 4U,5.00,0.17077,3.50,ebill και πάγια εντολή,0.15327,Συνέπεια,Αορίστου Διάρκειας,Το πρόγραμμα διατέθηκε με διαφορετική τιμολόγηση πριν τις 22/4/2024
SOLAR ENERGY,2024,1,Οικιακό S1,0.00,0.15327,0.00,,0.15327,,Αορίστου Διάρκειας,
SOLAR ENERGY,2024,1,Οικιακό S1Ν,0.00,0.15327,0.00,,0.15327,Συνέπεια,Αορίστου Διάρκειας,Χρέωση νυχτερινού 138.82 €/MWh
PROTERGIA,2024,3,Helios Value,0.00,0.1538,0.00,,0.1538,,Αορίστου Διάρκειας,
PROTERGIA,2024,3,Plus,1.00,0.1538,1.00,,0.1538,,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,1,SIMPLY GENEROUS HOME,5.50,0.15846,5.50,,0.15383,Παραμονή,Αορίστου Διάρκειας,
ΗΡΩΝ,2025,1,BASIC HOME,5.00,0.20597,5.00,,0.15422,ΣΥΝΕΠΕΙΑ,Αορίστου Διάρκειας,
ELPEDISON,2024,6,Ειδικό (για τις πρώτες 100 kWh μηνιαίως),4.00,0.15484,4.00,,0.15484,,Αορίστου Διάρκειας,
ΕΛΙΝΟΙΛ,2024,6,Power On! Home,0.00,0.15547,0.00,,0.15547,,Αορίστου Διάρκειας,
ΕΛΙΝΟΙΛ,2024,9,Power On! Home Easy,5.00,0.15547,5.00,,0.15547,,Αορίστου Διάρκειας,
PROTERGIA,2024,9,Value Fair,5.00,0.18489,5.00,,0.156,Οριζόντια έκπτωση χωρίς προυπόθεση,Αορίστου Διάρκειας,Μη εμπορικά διαθέσιμο από 04/07/2024
ΗΡΩΝ,2024,6,ECO GENEROUS HOME,6.50,0.1816,0.00,0,0.15685,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
SOLAR ENERGY,2025,1,Ειδικό,5.00,0.206,5.00,-,0.1572,Συνέπεια,12,
ELPEDISON,2024,6,ELPEDISON SMART,5.00,0.15741,5.00,,0.15741,,12,
VOLTON,2024,9,VOLTON BLUE FIXED,5.90,0.175,5.90,,0.1575,Συνέπεια,12,Από 02/09 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2024,12,VOLTON BLUE FIXED,5.90,0.175,5.90,,0.1575,Συνέπεια,12,Από 02/09 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2025,1,VOLTON BLUE FIXED,5.90,0.175,5.90,,0.1575,Συνέπεια,12,Από 02/09 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2024,1,VOLTON BLUE FIXED,5.90,0.175,5.90,,0.1575,Συνέπεια,12,
ΗΡΩΝ,2024,6,SOLAR GENEROUS HOME,5.50,0.1766,5.50,,0.1578,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
EUNICE,2024,10,Ειδικό,5.00,0.15785,5.00,,0.15785,,Αορίστου Διάρκειας,
VOLTERRA,2024,1,Forward για το Σπίτι,0.00,0.15797,0.00,,0.15797,,Αορίστου Διάρκειας,
ΕΛΙΝΟΙΛ,2024,8,Ειδικό,5.00,0.24319,5.00,,0.15805,,Αορίστου Διάρκειας,
NRG,2024,1,prime 4U,2.50,0.15811,1.75,"e-bill, πάγια εντολή",0.15811,,Αορίστου Διάρκειας,
ΖΕΝΙΘ,2024,9,Ειδικό,5.00,0.15833,5.00,,0.15833,,Αορίστου Διάρκειας,
NRG,2024,10,Ειδικό,5.00,0.19038,3.50,ebill & πάγια εντολή,0.15838,συνέπεια,Αορίστου Διάρκειας,
ELPEDISON,2024,6,ELPEDISON Smart Up,4.00,0.15841,4.00,,0.15841,,12,Από 31/05 το προϊόν είναι μη εμπορικά διαθέσιμο.
ELPEDISON,2024,8,Ειδικό (για τις πρώτες 100 kWh μηνιαίως),4.00,0.1585,4.00,,0.1585,,Αορίστου Διάρκειας,
ELPEDISON,2024,9,Ειδικό (για τις πρώτες 100 kWh μηνιαίως),4.00,0.1585,4.00,,0.1585,,Αορίστου Διάρκειας,
ELPEDISON,2024,10,Ειδικό (για τις πρώτες 100 kWh μηνιαίως),4.00,0.1585,4.00,,0.1585,,Αορίστου Διάρκειας,
ELPEDISON,2024,12,Ειδικό (για τις πρώτες 100 kWh μηνιαίως),4.00,0.1585,4.00,,0.1585,,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,8,BASIC HOME,5.00,0.26805,5.00,,0.15879,ΣΥΝΕΠΕΙΑ,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,7,BASIC HOME,5.00,0.19904,5.00,,0.15879,ΣΥΝΕΠΕΙΑ,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,10,BASIC HOME,5.00,0.17154,5.00,,0.15879,ΣΥΝΕΠΕΙΑ,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,9,BASIC HOME,5.00,0.20884,5.00,,0.15879,ΣΥΝΕΠΕΙΑ,Αορίστου Διάρκειας,
VOLTON,2024,7,Ειδικό,4.90,0.20483,4.90,,0.1588,Συνέπεια,12,Δώρο το ρεύμα του πρώτου μήνα για νέες αιτήσεις
PROTERGIA,2024,12,Value Simple,5.00,0.18216,5.00,,0.159,Οριζόντια έκπτωση χωρίς προυπόθεση,12,Μη εμπορικά διαθέσιμο από 04/07/2024
PROTERGIA,2024,12,Value Special,4.00,0.25,4.00,,0.159,ΣΥΝΕΠΕΙΑ,Αορίστου Διάρκειας,
PROTERGIA,2024,12,Value Fair,5.00,0.23405,5.00,,0.159,Οριζόντια έκπτωση χωρίς προυπόθεση,12,Μη εμπορικά διαθέσιμο από 04/07/2024
PROTERGIA,2025,1,Value Special,5.00,0.25,5.00,,0.159,Συνέπεια,Αορίστου Διάρκειας,
VOLTERRA,2025,1,New Yellow για το Σπίτι,4.50,0.159,4.50,,0.159,,12,
VOLTERRA,2024,12,Ειδικό,4.50,0.159,4.50,,0.159,,Αορίστου Διάρκειας,
VOLTERRA,2025,1,Ειδικό,4.50,0.159,4.50,,0.159,,Αορίστου Διάρκειας,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,10,Ειδικό,5.00,0.16715,5.00,,0.15915,Συνέπεια,Αορίστου Διάρκειας,
VOLTON,2024,12,VOLTON BLUE FIXED 6M_04,11.90,0.199,11.90,,0.1592,Συνέπεια,6,Από 20/12 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2024,9,VOLTON BLUE FIXED 6M_04,11.90,0.199,11.90,,0.1592,Συνέπεια,6,
VOLTON,2025,1,VOLTON BLUE FIXED 6M_04,11.90,0.199,11.90,,0.1592,Συνέπεια,6,Από 20/12 το προϊόν είναι μη εμπορικά διαθέσιμο.
ΖΕΝΙΘ,2024,10,Power Home Student ( >200 kWh κατανάλωση ),5.00,0.15945,5.00,,0.15927,,Αορίστου Διάρκειας,Τιμή προμήθειας για μηνιαία κατανάλωση >200 kWh
ΔΕΗ,2024,9,Ειδικό,5.00,0.1594,5.00,,0.1594,,Αορίστου Διάρκειας,"Χρέωση Νυχτερινού 128,4 €/MWh"
NRG,2024,6,Ειδικό,5.00,0.21602,3.50,ebill & πάγια εντολή,0.15952,Συνέπεια,Αορίστου Διάρκειας,
EUNICE,2024,9,We Home,2.00,0.15953,2.00,,0.15953,,Αορίστου Διάρκειας,
PROTERGIA,2025,1,Value Simple,5.00,0.17318,5.00,,0.1596,Οριζόντια έκπτωση χωρίς προυπόθεση,12,Μη εμπορικά διαθέσιμο από 04/07/2024
PROTERGIA,2025,1,Value Easy,5.00,0.18818,5.00,,0.1596,Οριζόντια έκπτωση χωρίς προϋπόθεση,12,ΜΗ εμπορικά διαθέσιμο από 2/12/2024.
PROTERGIA,2025,1,Value Swift,5.00,0.18818,5.00,,0.1596,Οριζόντια έκπτωση χωρίς προυπόθεση,12,
SOLAR ENERGY,2024,9,Οικιακό S1+,4.50,0.1809,4.50,,0.1596,Συνέπεια,Αορίστου Διάρκειας,
NRG,2024,9,nrg @ cost+,7.10,0.15973,5.00,ebill και πάγια εντολή,0.15973,,Αορίστου Διάρκειας,Κλιμακωτή αύξηση παγίου μετά τις 250kWh κατανάλωσης. Το πρόγραμμα διατέθηκε με διαφορετική τιμολόγηση πριν τις 22/04/2024.
ΕΛΙΝΟΙΛ,2024,9,Ειδικό,5.00,0.18587,5.00,,0.15987,,Αορίστου Διάρκειας,
