Πάροχος,Έτος,Μήνας,Ονομασία Τιμολογίου,Πάγιο (€/μήνα),Τελική Τιμή Προμήθειας (€/ΚWh),Πάγιο με Έκπτωση με προϋπόθεση (€/μήνα),Προϋπόθεση Έκπτωσης Παγίου,Τελική Τιμή Προμήθειας με Έκπτωση με προϋπόθεση (€/ΚWh),Προϋπόθεση Έκπτωσης Βασικής Τιμής Προμήθειας,Διάρκεια Σύμβασης,Παρατηρήσεις
ELPEDISON,2024,5,ELPEDISON Smart Up,4.00,0.085,4.00,,0.085,,12,Για το μήνα Απρίλιο και Μάιο ισχύει ειδική προωθητική ενέργεια καθορισμένης Χρέωσης Προμήθειας στα 0.085 €/kWh. Από 31/05 το προϊόν είναι μη εμπορικά διαθέσιμο.
ELPEDISON,2024,4,ELPEDISON Smart Up,4.00,0.085,4.00,,0.085,,12,Για το μήνα Απρίλιο και Μάιο ισχύει ειδική προωθητική ενέργεια καθορισμένης Χρέωσης Προμήθειας στα 0.085 €/kWh.
PROTERGIA,2024,11,Value Secure 6 Μήνες,9.90,0.119,9.90,,0.085,Συνέπεια,Αορίστου Διάρκειας,
PROTERGIA,2024,12,Value Secure 6 Μήνες,9.90,0.119,9.90,,0.085,Συνέπεια,6,
PROTERGIA,2025,1,Value Secure 6 Μήνες,9.90,0.119,9.90,,0.085,Συνέπεια,6,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,12,Ρεύμα MAXI Home Economy,9.90,0KWh - 150KWh   0.115 151KWh +   Η τιμή δεν είναι ακόμα γνωστή,9.90,,0KWh - 150KWh   0.085 151KWh +   Η τιμή δεν είναι ακόμα γνωστή,Έκπτωση συνέπειας	Έκπτωση συνέπειας,Αορίστου Διάρκειας,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,10,Ρεύμα MAXI Home Economy,9.90,0.115,9.90,,0.085,Έκπτωση συνέπειας,Αορίστου Διάρκειας,Η τιμή αφορά καταναλώσεις έως και 150 kWh
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Ρεύμα MAXI Home Economy XL,14.90,0KWh - 300KWh   0.115 301KWh +   Η τιμή δεν είναι ακόμα γνωστή,14.90,,"0KWh - 300KWh
0.085
301KWh +
Η τιμή δεν είναι ακόμα γνωστή",Συνέπεια,12,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,12,Ρεύμα MAXI Home Economy XL,14.90,0KWh - 300KWh   0.115 301KWh +   Η τιμή δεν είναι ακόμα γνωστή,14.90,,0KWh - 300KWh   0.085 301KWh +   Η τιμή δεν είναι ακόμα γνωστή,Έκπτωση συνέπειαςΈκπτωση συνέπειας,Αορίστου Διάρκειας,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,10,Ρεύμα MAXI Home Economy XL,14.90,0.115,14.90,,0.085,Έκπτωση συνέπειας,Αορίστου Διάρκειας,Η τιμή αφορά τις πρώτες 300 kWh κατανάλωσης.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Ρεύμα MAXI Home Economy,9.90,0KWh - 150KWh   0.115 151KWh +   Η τιμή δεν είναι ακόμα γνωστή,9.90,,"0KWh - 150KWh
0.085
151KWh +
Η τιμή δεν είναι ακόμα γνωστή",Συνέπεια,12,
EUNICE,2024,4,WE GREEN HOME,3.75,0.09852,3.75,,0.08602,Συνέπεια,Αορίστου Διάρκειας,Χρέωση νυχτερινού 83.02 €/MWh
EUNICE,2024,4,We Blue Home,2.75,0.09852,2.75,,0.08602,Συνέπεια,Αορίστου Διάρκειας,Χρέωση νυχτερινού 83.02 €/MWh
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,4,Ρεύµα MAXI Home 10,5.00,0.09776,5.00,,0.08776,Συνέπεια,Αορίστου Διάρκειας,
NRG,2024,4,nrg @ cost+,7.10,0.08789,5.00,"e-bill, πάγια εντολή",0.08789,,Αορίστου Διάρκειας,Tο Πάγιο αφορά σε κατανάλωση μέχρι 250 kWh. Το πρόγραμμα διατέθηκε με διαφορετική τιμολόγηση πριν τις 22/4/2024
VOLTON,2024,12,VOLTON BLUE FIXED 6M,9.90,0.11,9.90,,0.088,Συνέπεια,6,Από 11/06 το προϊόν είναι μη εμπορικά διαθέσιμο
VOLTON,2024,12,Volton Blue 6M,18.00,0.16,9.90,Έκπτωση συνέπειας 45%,0.088,Έκπτωση συνέπειας 45%,6,Μετά την πάροδο των έξι μηνών και εφόσον ο Πελάτης δεν έχει επιλέξει κάποιο από τα εμπορικά διαθέσιμα προγράμματα του Προμηθευτή υπάγεται στο οικιακό κυμαινόμενο τιμολόγιο «Volton Yellow Standard».
VOLTON,2025,1,Volton Blue 6M,18.00,0.16,9.90,Έκπτωση συνέπειας 45%,0.088,Έκπτωση συνέπειας 45%,6,Από 17/01/2025 μη εμπορικά διαθέσιμο. Μετά την πάροδο των έξι μηνών και εφόσον ο Πελάτης δεν έχει επιλέξει κάποιο από τα εμπορικά διαθέσιμα προγράμματα του Προμηθευτή υπάγεται στο οικιακό κυμαινόμενο τιμολόγιο «Volton Yellow Standard».
VOLTON,2024,6,VOLTON BLUE FIXED 6M,9.90,0.11,9.90,,0.088,Συνέπεια,6,Από 11/06 το προϊόν είναι μη εμπορικά διαθέσιμο
VOLTON,2025,1,VOLTON BLUE FIXED 6M,9.90,0.11,9.90,,0.088,Συνέπεια,6,Από 11/06 το προϊόν είναι μη εμπορικά διαθέσιμο
VOLTON,2024,4,VOLTON BLUE FIXED 6M,9.90,0.11,9.90,,0.088,Συνέπεια,6,
ΔΕΗ,2024,4,MyHome 4All,5.00,0.0911,4.90,Πάγια εντολή,0.088,20% οριζόντια έκπτωση στη Βασική Τιμή Προμήθειας χωρίς προϋποθέσεις και 2% έκπτωση στη Βασική Τιμή Προμήθειας με Πάγια Πληρωμή,Αορίστου Διάρκειας,"Χρέωση νυχτερινού 67,72 €/MWh.  Αφορά σε συμβάσεις έως 29/2/2024."
